Page,Page Views,Unique Page Views,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/request_event/11474,5,1,00:00:08,0,0.00%,0.00%,NZ$0.00
/request_event/18793,4,1,00:00:10,1,0.00%,25.00%,NZ$0.00
/request_event/20875,4,3,00:00:08,1,0.00%,25.00%,NZ$0.00
/request_event/11386,3,1,00:01:06,0,0.00%,0.00%,NZ$0.00
/request_event/11459,3,1,00:00:00,0,0.00%,33.33%,NZ$0.00
/request_event/11472,3,1,00:00:04,0,0.00%,0.00%,NZ$0.00
/request_event/17832,3,1,00:00:04,1,0.00%,33.33%,NZ$0.00
/request_event/18782,3,1,00:10:14,0,0.00%,0.00%,NZ$0.00
/request_event/19427,3,3,00:00:00,3,100.00%,100.00%,NZ$0.00
/request_event/20061,3,3,00:00:04,3,33.33%,33.33%,NZ$0.00
/request_event/20722,3,1,00:00:00,1,0.00%,33.33%,NZ$0.00
/request_event/4699,3,1,00:00:29,0,0.00%,0.00%,NZ$0.00
/request_event/5082,3,1,00:09:50,0,0.00%,0.00%,NZ$0.00
/request_event/17830,1,1,00:00:30,1,0.00%,0.00%,NZ$0.00
/request_event/17831,1,1,00:00:00,1,100.00%,100.00%,NZ$0.00
/request_event/17833,1,1,00:00:00,1,100.00%,100.00%,NZ$0.00
/request_event/18787,1,1,00:00:16,0,0.00%,0.00%,NZ$0.00
/request_event/18975,1,1,00:00:00,1,100.00%,100.00%,NZ$0.00
/request_event/19420,1,1,00:00:00,1,100.00%,100.00%,NZ$0.00
/request_event/19423,1,1,00:00:05,1,0.00%,0.00%,NZ$0.00
/request_event/20715,1,1,00:00:05,1,0.00%,0.00%,NZ$0.00
/request_event/20723,1,1,00:25:47,0,0.00%,0.00%,NZ$0.00
/request_event/20774,1,1,00:00:00,1,100.00%,100.00%,NZ$0.00
/request_event/20868,1,1,00:00:00,1,100.00%,100.00%,NZ$0.00
/request_event/21245,1,1,00:01:44,0,0.00%,0.00%,NZ$0.00
/request_event/3228,1,1,00:02:19,0,0.00%,0.00%,NZ$0.00
